l7GQ-fR-DsA	tea
MI2Jae1agR4	news
cIPxnJAUd74	newly weds, newly wed couple
9GJUdPIquG4	newly married (meaning)
l4jwOKcXm4I	new
japf1wZMgiQ	New Zealand
MYVwYIX47wQ	never
rK412FrGOxY	network
7nOhCp26zqo	Netherlands
PI8mabNvaE0	Netaji Subhas Chandra Bose
yT93i9RcLFk	nervous (sign 3)
3g-VyVR_iyU	nervous (sign 2)
osLBI6ox7EE	nervous (sign 1)
2Cf1btUy1NI	nephew
YsHiDhGbv0Q	Nepal
VDbvWI5QT70	neighbor
-NQKa7Pmhx4	9 nine
ga-B-UhiVNo	negative
ogoYx2zZE7E	needle
7Rl3OaaGNkY	necklace
o3ThFwDDdso	neck (sign 2)
EQwPLL2v2bU	neck (sign 1)
TL4iZGEw9CY	neat
vgtE5_6_VD4	near, nearby, close by
PMv7R76mAZA	naughty, mischievous, rowdy
OTfPJGdUm50	nature
oPedYyqevCM	natural
boWOpxe2CRY	National Association of the Deaf
qbITjeyEq14	National Anthem (sign 2)
jHyubnv9xFk	National Anthem (sign 1)
AhDjpH0xZAU	19 nineteen
bGRAQ9ORnm0	national (sign 2)
18Wi03A6brU	national (sign 1)
W4cePmQ87gw	narrow
HMd3blEQ8g4	Namibia
GIoPLi8lba4	name (sign 5)
3I1fwIgGXv8	name (sign 4)
SjfLsGRnuGo	name (sign 2)
ZlECIvK4NRU	name (sign 1)
oK0JcoPqnuY	namaste
xqvVfaJrM0A	nail
DbfHSSkk3Ss	nail cutter
BNnUgdUKtf0	Nagaland
VfQpOfUkVg8	My name is
j-e06h5DMW4	name (sign 3)
I4ZsuU5C6aw	now, right now
C_HK0uWAt8I	November
6CF-GjN1qCs	noun (sign 2)
KHbIUov_fKY	noun (sign 1)
RbTU0PE3ebM	notice, notification
dnZlTBG5Taw	nose
_5-p1Ci-LQI	Norway
Nus1qk-Khiw	north-east
gvz1mZnNRJw	north
xBwnNDnOPGM	North Korea
6ZWrFKv-PrI	noon
HUax1aYesBo	none, nothing
dNZ0oK9jvZs	none, nothing, empty
geAcMUXIAv8	none, nothing (sign 2)
v2jaNOh-Rcc	none, nothing (sign 1)
GGV55DgjlHM	Nokia Mobile
KKOqbdFgAgo	nutrition
933fIHNLS9s	nurse (sign 2)
IBYqJ-C2FsA	nurse (sign 1)
oqQZVkOsNh8	metre
r-Og6CaFJUA	metro
y78hQDvKB_M	Milad Un Nabi, Id e Milad, Birthday of Prophet Mohammad
KLWmJJC8WvA	millionaire
xx3nZjHHL3s	minimum, least, lowest
EEn5WhsNLfA	minister
1uiUwkOZyis	milk bottle
guKx7gevhGo	milk
wh_GS78OuYQ	milkman
LAMyZKIAF9c	millilitre
sOOzZZY-gQI	Mexico
mWHH9UopPFs	MI Xiaomi
FCHXqa0qVDo	mile
7TAkooD4Lyc	might
D7hi8QdSnq8	middle
SxLd_Jwhy80	Micromax Mobile
xemoV0PWpUw	Mickey Mouse
PFALmbyUi5A	mic, microphone
ltVnbI_MWDg	Ministry of Social Justice and Empowerment (sign 2)
amb6frWEiDU	Ministry of Social Justice and Empowerment (sign 1)
VvgOq3Ga3qo	minority meaning
ruOCbes6zaM	minute (meaning)
zOpA9-geIxA	minority sign 2
0UyMbBSxbM4	minority sign 1
I5Nw8MVpZt8	mirror
eheMtSsA-ww	miss, absence, omission
aIYmSF72Yk4	mistake, error (sign 3)
sn0j9u42p5Q	mistake, error, inaccuracy (sign 1)
s67I8VUigAU	monkey (sign 2)
D-6KziM3_ac	monkey (sign 1)
52TTzIUKAAI	Monday
xGkS3isNXXc	modern
fauftUvYPls	modern (meaning)
ioph9CGaf2k	model
iiWPq-IKhXQ	mock, ridicule
WBHJgw_7yEg	mix
Tw8BsgjnKIg	Mitsubishi Motors
GzUACVmJWyc	misunderstand, misconstrue
dIH705Z6Wkk	mistake, error, inaccuracy (sign 2)
QHpNcX0Ugsc	Mongolia
Mbd9TS2cITU	month (sign 1)
WcmCeaR7Kk4	monsoon
aO7Pmus6yEE	month (sign 2)
ufTWb8-_rGA	multiple
IdTIbvWgePA	Muharram (sign 2)
v7--O9C9ZH4	Muharram (sign 1)
J06ynDbTJDY	MTNL
0E2yd3OjjsU	movie
j22q83rv6hg	movement
Wasx0HPXASQ	move
KYWyFwglnCE	mouthwash
oYwBPKBX2kE	mouth
PP3bE6cjRdQ	mouth spray, breath freshener
HkPXGBLKhKM	mouth organ
PBPb-_V8A_U	mouse
z5T2c_s6kwI	mountain
ZfvUujCbJR0	Motorola
DwUajipOhHY	motor
-vcgtHff_po	motivate
cW1M5CUdCmk	mother in law
Kxj8mG2kNCc	mother
PGdVl8-IzJA	mother tongue, first language
pRJFwOmmjPE	mushroom (sign 1)
fEkv-ySnoNQ	museum
htSBSfPfbIk	multiply
eJ8fFy6Litw	Myanmar
EI3Z7yP6_JQ	my
kxpgbuVTGlE	must, should
5FInx5vD418	musician (sign 2)
vDKcRElYodA	musician (sign 1)
r5N3Xy-KNAU	music
KcxcXM11Lmo	mushroom (sign 2)
r3H0vo7q6qY	myself
lb677h8z0PQ	mystery (meaning)
HymdtSakcww	label (sign 1)
nbGClOPWFAs	label (sign 2)
wWzqyc2x0GI	lack, miss
2JY-9q3ehfY	ladder (sign 1)
-A1P5WbuNo8	ladder (sign 2)
Z9fW5tpQOYY	lake
f64zpSopa3E	ladyfinger
5sfiu9fyEt8	lady
r4n7uVq_LzU	ladder (sign 3)
hR9Q-3L5tGY	Laos
1kasuHeFIuw	language
wAEJEtDB20g	land (sign 4)
OX23xzI_GhY	land (sign 3)
yMs5B2DUJ_0	land (sign 2)
kHGkRSDn6q8	land (sign 1)
n_8B2_ChR7I	lamp
a1Nj8ScIhho	Lakshmibai, Rani of Jhansi
U5Fpzlc787s	Lakshmi
wRjTHPy0jes	last week
44mCQaeKBVw	last month
E3IAqXfMjWA	lassi (sign 2)
lFY9NjDYAwg	lassi (sign 1)
RTvZD8AZs64	large
zkOqvdkGpS4	laptop (sign 2)
fVM3O_zqrWc	laptop (sign 1)
v2ak0hp1ZTw	lazy, inactive
k6iqdvYEj4k	lawyer
YCunYHD0SVY	lawyer (2)
9Gl6dhM-XAY	law (sign 2)
dkAI5hTKrJA	law (sign 1)
XDj2H5_amTQ	laugh
LNeQmfpFxKw	lauki, bottle gourd
5DjHf74Wzyk	late (sign 1)
vS5fnczMHcA	last, at the end
wX-5GS2Om7k	last year
tplh8l5q74U	lend, loan
3FlXNEmG6h0	lemon
BGjmN9lRDH0	legal, lawful
CpYIKn7qaIY	left (hand)
8fqQ2nm3B4Q	leer, ogle, stare
wpUgLTxBXns	lecturer
u1PuKrTDzdI	lecture
ZLMSgBfkRgc	Lebanon
IWWZql-w610	leave (absent)
VN0pOHZP1KQ	leave (absent)(meaning)
WzjR1buH7o8	learn (sign 2)
MAZVS8doD6E	learn (sign 1)
tg9QaW7Pvm8	leaf (sign 3)
u6x6Qk463V4	leaf (sign 2)
Idc4ADhTayI	leaf (sign 1)
JwvgzR8JBQw	leaf (dry)
6eCbHVCJ9N0	lead, guide
lwX7ijChOGs	Universal Adult Franchise
YKFHr8y6YRI	metal
1KCDw7XLgU0	Mahavir Jayanti (sign 2)
rskg3zep4Gs	Mahavir
5NwQvEmIQdY	manner, behaviour, conduct
KD_mAE7nypI	manager
qW80XrM1yWQ	mall
2_R0SbF4K-4	Aamir Khan (sign 1)
kmxkFZgrfuY	address (sign 2)
ijNQOg31iaI	adult (sign 1)
RIWIAARKqCo	Africa (sign 2)
3KS9SiHwRVI	Africa (sign 1)
Dz9dFM4Pg3g	allow (sign 3)
kl6t309RsBY	already (sign 1)
2YgACbDEMmM	ancestor (meaning)
672SUsSwn10	day (sign 2)
v_HmgeH-ABo	day (sign 1)
6D-tRJn3T6E	day(s) after
hlWNjgLwXUM	day(s) after tomorrow
OEZKlgaRH4o	alarm sign 1
is0vnifQmQE	alarm sign 2
2iB4Rwtng94	Albania
3FY7bYQBJ8M	alcohol sign 3
ItvaPW9FnxE	Algeria
Unvi9R9Qg8w	alike, similar
4FldxWjLykY	Arunachal Pradesh sign 1
H90EE4ZyShY	Arunachal Pradesh sign 2
XxRvBiQEf1s	Arunachal Pradesh sign 3
LAxFz0h8jVA	Asia
AEjUapb4Iwc	Assam sign 1
uF5-SHyMOwg	Assam sign 2
jI62F9LgRlI	Assam Tea Gardens
AYTEzWH7BYY	assistant professor
f8BAnw57PFY	assistant
sORWtcK5Cl4	associate professor
1SWHwkSeN5M	assume
5MtZYbYZhIo	astronaut
b00epXFNL5U	ATM
6rTPgPHDnGU	attitude sign 1
1js4OwpNYrc	attitude sign 2
_NCg6SOF43E	August sign 1
TuH0o_tiW3o	August sign 2
SvabwOUNAEE	August sign 3
4bEmX9n5WqQ	aunt
fUfGwnc4Hmo	Australia sign 1
BCVSsSZSqm4	Australia sign 2
MFNsb1cUbDc	automatic
fPhovlavllg	autorickshaw
4MB7jUMQvac	autumn
C2FMG7QWfCo	avalanche
tMYNBmb808w	award, prize, trophy
8pfW3gmsue8	away
Jm8OXSwWnCY	Audi
Bir6ea5EZ1c	Association of Sign Language Interpreters
_OVPsuqM4WA	axe
ae7r5dnrG34	Austria
qNWz7DPyrnU	choose, pick, select
ZlHosNYMQwE	Christianity, Christian
SdsEu8iuUpE	Christmas sign 1
tUV7RnfFTa4	Christmas sign 2
f7KtY9x961I	Christmas sign 3
9LDQGtFRVhI	Christmas sign 4
aYpR1Gsa0_U	Christmas sign 5
9WpI_sLgb00	Christmas sign 6
Q74GhX7qYWI	cinema hall, theatre sign 1
bEgGF4YuHm0	cinema hall, theatre sign 2
IwjaiMCqRSk	cinema, theatre
URA2L-D-MAQ	city sign 1
yWRsnrs4C5w	class, grade, standard
xR3xDmZZCCI	city sign 2
WiOoeG7LL6I	clean, tidy
a1T4s6FhcSE	clear sign 1
LyZNz7OHiBc	clear sign 2
lto2iIwYuOw	clever sign 1
8eae5jZQ1zo	clever sign 2
yFMHg6sTd6Y	clever sign 3
GTNV1gmJDSk	climb
Qhvb075HF_Y	clock (sign 1)
Ju08b0MS8-4	clock (sign2)
SWWKwdMT9qQ	close relation
QiX_rb7Lm3I	close friend
ygxGB0K2M8A	cloud
d4zWp5T3P-w	cloudy
RcZ64U1ydeg	clown
gZeBXbzKTnY	club sign 2
ALdikJXEJtc	club sign 1
WEnejEf0veY	close
6al4AYYeD6A	cobbler sign 2
d5SYjSyZLZI	cobbler sign 1
7I3kECWTA4w	coat
E5teJWyr2rA	coach
Jm23ZwhmPlQ	clumsy
Yf38Dy5zOF4	coconut sign 1
a8cDfDvCcxw	cockroach
okkkPNVcTfQ	cold for food
0CUyYc1R3OA	Colombia
MsbYk4NcVtw	collude (example)
CNnZQINfB8E	college
IDxelyv-im0	collect, compile, gather
EdGBkBi0xQ4	cold
U46jloztxAQ	Coimbatore
-H_VzAnfyKk	coconut sign 2
XP1X2toQb3s	common
8ODE1njkZv0	committee
7poFsrrVPVk	commerce
t7BWrIChL1Y	comfortable (sign 2)
KsbMoTA5Rvk	comfortable  (sign 1)
H84q83Jmhhk	come back, return
HSEV-Y2g3A8	come (sign 2)
zobbHZq0U4w	come (sign 1)
mhO9nuyQ28I	combine, merge
cwDDoB4ZOZY	combine, connect (words)
lz2BCCFiYmQ	comb
c9hrMSMJFgw	congratulations
U1TZROWBuoo	confused (sign 2)
g1xpvj7Xu3A	confused (sign 1)
RZo8XEvx1G8	confirm (sign 2)
Fls8pLxuhZs	confirm (sign 1)
s1tq1t4LDuM	confidence
YXM8FEEsI_A	conference (sign 3)
0_dU4pT_Ch4	conference (sign 2)
przV2cLTG_4	conference (sign 1)
rrjpij1UdL0	condom
EGt1EA-YBNw	conclude
lF3h9t_N8fA	concept
4epyVRUXIWA	computer
kYwtY_FCM1c	complete, finish
LjoBu4KD33Y	complain
vZBu2SG35ec	competition
b8z6CTJw-TI	competition, contest
nBnJhuCSZxY	compare
eI4NQgjp5l0	company
md3sDbLwP_I	Czech Republic
wEfxi8YvQLI	Cyprus
ZsQKzWzog3w	cylinder sign 2
n7Ikc1zpm-o	cylinder sign 1
ioEb1Aqyq10	cycling
YzMaVzYqmoI	cutlery
bbWGXTXiw4k	cute
FDpm4DIIUqI	cut
sNQ2sQ75wJ8	cut, trim, snip, clip
Y9MkvKtXngo	decade
I77KHj-yyWQ	debit card sign 2
VPU-Gw_h9ko	debit card sign 1
7z7NAx8_5n4	debate meaning
F8ZmweysvHM	Deaf
ke1DcSSwifs	days before
aUL73h0mbYg	deadline, time limit sign 4
1eodwdZ3isc	deadline, time limit sign 3
FD8LpV-MqEM	deadline, time limit sign 2
c4_wAHzGCiw	deadline, time limit sign 1
YlpdAUskBYI	defend, protect (sign 2)
5Joy5x30t6E	deer sign 2
YkczyHs5RyA	deer sign 1
Idq3nOcunPw	Deepika Padukone
aTbpGKnMdv8	decrease, lessen, reduce sign 2
sIRKe3QdsJ8	decrease, lessen, reduce sign 1
76nlaB0l3kk	December
fVnCA91Bvwo	dog sign 2
_2TlWc7fctg	Donald Duck
Wj8Inf10Cds	donkey sign 1
JE_6hkeERgY	donkey sign 2
ODM8uD78HiY	Don't give up your day job
PEWcunm1QG4	don't
EXJmDDFi-5g	door
Pq7GkdMqan8	draft, rough
Rmwh_Cfw9GE	draughtsman
rihHzABTIPg	drawer
ReGozpDkRcc	dream
3snObAxKXOQ	dress
0HcbAAaV73Y	drink
wIEYdZjvXJo	driver sign 1
0BC8wWXW_wc	driver sign 2
RnqeyToK1I8	drizzle
bTfZoLcLD1s	drug sign 4
FkCaUqcqwpA	drug sign 3
z4AQcUmPyxg	drug sign 2
lFyE0xYWW7I	drug sign 1
lTbpj1XKVWg	Dropbox
NiIyd5WjjFg	drop, let go, put
uZB4kRSkd_g	drop, droplet
LpK4vi7gyoU	Dubai sign 1
y5LmYGbr428	dry
LYRpKbuXtw8	drug sign 5
XEKKQz2x4DE	Dubai sign 2
oA3QZPn2m1k	duck sign 1
a6CyJGTNsG8	Duronto Express
9TcOdm_p8dc	during
hlRsj56XQh4	dull, unintelligent, dim, stupid
p8ccKTtbyaQ	duck sign 2
s00OIj7TQV0	Dussehra sign 1
ncAPREMR3JA	DVD
2ieSeOjAJZE	dustbin
ACJG5VeKrvQ	dust
tRo9FnfeFj8	Dussehra sign 2
TKsGy30vLtI	environmental pollution
G_6Wje1CTSM	equipment
BUv48pwD90o	exam
rVEOXcTj1NU	evil
bGUPJlNVLFM	everything
DPb0Ariw5Ic	event
vB72KncjZis	evening
ko_3tCyv_Dg	Europe
VdG0pGDoCzM	ethics
V762TGrdsYI	establish
IqAQQves3xE	Essel World
1mWlliCFyxM	escape
5mRd9gulCKs	eraser, rubber
7PKlEo-ZLME	example
syXsQXIoZEI	excuse
SMEVutE0yBw	excuse me
C_VE9wu76So	excrement, faeces, potty
BN8N3UwtL00	exclude
fe3uPTqXfxQ	excited
Pro1Tbg-LE8	exchange, swap, transaction
VGa4oRGUQ-w	exchange positions
K5qR4GaiYqc	form sign 2
VyDyh75isWg	form sign 1
-syzD8b7Uog	fork
tZRz_YRiaYw	forgive
pAtADV-ujaQ	forever
mq9WIJ0BxY8	forest
wyDi2hGYZmg	forehead
3I2-zG4Ymb4	force
vawgyWPeIiM	foot body part
IVY4EYIVHMI	food
VJNSZFoRLzE	follow
6c8Zy5HvpQQ	fog
CqilPDcjxRc	fly
biSlYwhDtc4	flute
B2JFlPUsxQY	form sign 3
KAsaLUHY0y4	former
E_bwQ8SGo8w	foundation organization
z2B7VrBSA5c	friend
IOS2_Xy4yg0	Friday
pobP84igDt4	fresh
AVjyszuck8E	freeze
zpDZzjRrUmk	France
IWBVW-QyFEw	fox
Ht6fXw6roFc	four cricket
VORmSzXh6YU	funny
50ifEC4lOTQ	funeral pyre
YVDtfcK77FA	funeral meaning 2
oQNOHd5JtqA	funeral cremation
yLnePZ71izk	fun, joke
6KSKyvfyJGs	full
bgwSjzhyPs8	full stomach sign 2
0cLdo9cL7y4	full stomach sign 1
fhURcNQNqgo	frustrate
oeH2BtfiHVI	fruits
lW8hheG6HgY	from
ru9ZDRu566k	frisbee
iT0YsG0QkbU	future
TDdKRcFO4k8	fingerspell
VPU-Gw_h9ko	debit card sign 1
7z7NAx8_5n4	debate meaning
F8ZmweysvHM	Deaf
aUL73h0mbYg	deadline, time limit sign 4
1eodwdZ3isc	deadline, time limit sign 3
FD8LpV-MqEM	deadline, time limit sign 2
c4_wAHzGCiw	deadline, time limit sign 1
ke1DcSSwifs	days before
md3sDbLwP_I	Czech Republic
wEfxi8YvQLI	Cyprus
ZsQKzWzog3w	cylinder sign 2
n7Ikc1zpm-o	cylinder sign 1
ioEb1Aqyq10	cycling
YzMaVzYqmoI	cutlery
bbWGXTXiw4k	cute
FDpm4DIIUqI	cut
sNQ2sQ75wJ8	cut, trim, snip, clip
c9hrMSMJFgw	congratulations
U1TZROWBuoo	confused (sign 2)
g1xpvj7Xu3A	confused (sign 1)
RZo8XEvx1G8	confirm (sign 2)
Fls8pLxuhZs	confirm (sign 1)
s1tq1t4LDuM	confidence
YXM8FEEsI_A	conference (sign 3)
0_dU4pT_Ch4	conference (sign 2)
przV2cLTG_4	conference (sign 1)
rrjpij1UdL0	condom
EGt1EA-YBNw	conclude
lF3h9t_N8fA	concept
6f0v-e468AI	community
MeJB3ZRQQcY	hygiene sign 2
1T-rlcPbebo	hygiene sign 1
Kg_T4wAJNII	hygiene meaning sign 2
Hbj74PbhIzc	hygiene meaning sign 1
LAesnbDezYY	Hyderabad
e-oFpEWqbFI	husband
oSXFhrjLVAI	hurry up, quickly
X7vnmMCdV48	hurdle race
wYeLqdSCZR8	hungry sign 2
Hx_qIWAYD-g	hungry sign 1
YRc3fxOAnOg	Hungary
1O3tCXovrw8	humid
XnkB49W7JEI	humble
LFAMKxEzB_g	hot air balloon
IUxURsL66jY	huge
z_kjd4rGuag	hug
xuh2imuKrI0	Huawei Mobile
5-z6W_-oGLA	HTC Mobile
Exr3hQh_a6Q	Hrithik Roshan
kjbYH9I5O4U	how many
AXe4E38O_ck	how meaning
EWUNJsze6aE	housefly
U--0FZU2bDg	house, home
MF1FXsA8yXw	hot, scorching
fNAwhyttX0Y	hour
RpoDGwIp43s	hotel
OcSgDKInrg8	hot
3fh4S64bvM4	how much meaning
ILXJO86NsG8	Reliance (Mobile)
KVxHxFu6C1U	relay race (sign 1)
B2eH7OwcKQ0	relay race (sign 2)
sDvfKoCt0nI	rehabilitation (sign 1)
6bb5IDbiyzw	rehabilitation (sign 2)
sZXEa_h85YQ	regular (sign 1)
UwWaRajzxt0	regular (sign 2)
ekGqhBY4SZE	regret (sign 1)
wClUzDG34wQ	religion (sign 1)
ouQmvo795rE	4 four
nGiuyZ9jIds	14 fourteen
BYnUpQfk3Ts	5 five
f2RCrBoqFVw	500 five hundred
sVT6S-xJcbQ	Numbers (0-1 crore)
Wi0iDXiVO3Q	Allahabad Bank
MUALhjDPcdE	bank account number
cEclg4wFkQY	bank branch address
XV9orqztWis	bank branch code
C6NYbD05HIo	bank branch name
9jYJjEHnKTw	Bank of Baroda
0RIpHMSqV4c	Bank of Maharashtra
PlEUE-SExy8	Canara Bank
G6aKn9zvQ8g	cheque drop box
araXKMU7R4g	CIF Number
xHgqrgu0NB0	Corporation Bank
1MPaj2JcH1c	Kotak Mahindra Bank
qjRRaPtsqf4	Know Your Customer KYC Form
dxvGVA3-j9k	Karnataka Bank
h70xLaGjPIM	J K Bank
1RxiKpQqaJM	internet banking, online banking, web banking
BWWtThOnwkE	interest on savings account
IB4I1T_sQxo	IFSC
S4Ygl6RqD98	IDFC Bank
_K6fZSaEvfY	IDBI Bank
oRcnRJ4g8GY	ICICI Bank
575bTm_lAtE	HSBC Bank
W8DhdsaqA1A	HDFC  Bank
UB4Z8Wzkj5g	fixed deposit, FD
1OZTqBF7fFg	deposit slip
E4_sAfIiflQ	demand draft, DD
f0lX1hYxleg	Vijaya Bank
7D-_Ilut5Ns	Union Bank of India
tF3WaFt4kdY	UCO Bank
o95thycjZd0	transfer fee, transaction charge
_32XeMNyuxs	transfer money
ay7OzoG5fk8	tax
yQ1BONWNLrE	State Bank of India, SBI
OYENl3VfTb4	South Indian Bank
VcOM49u8maQ	share market
Hj28Cttz1Rs	recurring deposit
HE1mqIDP_Ik	Punjab National Bank
2KrNWzeY_dU	Paytm Payments Bank
FIYZhJAQ3Qo	passbook bank
JmPgvxIFzGE	Oriental Bank of Commerce
xbBwbQ6AZv4	nominee
4ANEdd5HfAs	withdraw money from bank
VfKd7mog6AA	tug of war Haryana
_CKSfuSN8qY	test Indore
ojCn0dDr1m0	rock climbing Gujarat
KAyF64u5G0w	English Mumbai
gfDGWjaDaTk	darts Munger, Bihar
jhJGHoYO_T4	banner Hyderabad
IH3kcXKQgt4	barricade Gujarat
5oxAsvVFIqs	banner Gujarat
MOy1x8EroPs	bandit Munger, Bihar
mrKqXT7mi94	bandh, general strike Munger, Bihar
MwHD6LxnfXo	website
WwlvxaeHNGI	video call
oDkQtwBcNJE	Tom and Jerry
4LcgJGBIhMY	social networking site
jsM5s7HUAhQ	serial TV sign 2
amB7PkF8fWQ	serial TV sign 1
PVdmrokA81k	record video sign 2
pTbDCcIMvpM	record video sign 1
SaqUZcI2zDA	post video
Oiewyo7WQ4w	Netflix
Q65na_iR_HQ	messages videos
BVtBleg0HgA	message video
5-vEsZ3vXPs	like social media sign 2
WFrPLJ77amU	like social media sign 1
VX-0YdOVhIE	hashtag
F_07ySQ8wso	block block someone on social media
ohjswsB3XdQ	Batman
ODFZJd2f9X8	Amazon sign 3
4--6iRQ6-7A	Amazon sign 2
KqdHyxm3XDA	Amazon sign 1
WGp_XsdMsp8	5G
WGvrtl9p1eY	Shiv Sena
oQZt_Mg6WFQ	Samajwadi Party, SP
woo5-4amwJ0	Rashtriya Janta Dal, RJD sign 2
RLYcKEP4af0	Rashtriya Janta Dal, RJD sign 1
QX2YCbSelwo	Rashtriya Janata Dal, RJD sign 3
atIObXII22k	opposition
he8ICzchdmA	Nationalist Congress Party, NCP sign 2
C201-UUFUDg	Nationalist Congress Party, NCP sign 1
01THMylW6Mw	Lok Janshakti Party, LJP
W8978OLdbx0	Left Demrocatic Front, LDF
RKMKhsFem98	Janta Dal United, JD U
RaTUMGgYYTY	Jammu and Kashmir Peoples Democratic Party, JKPDP, PDP
YjFFLGIxdsw	Indian National Congress, Congress, INC
3aJtWIMsFx8	Communist Party of India, CPI
7JdpsRQl8eY	Bharatiya Janata Party, BJP sign 5
2vUvW-0XfUE	Bharatiya Janata Party, BJP sign 4
0AW9acHJhNI	Bharatiya Janata Party, BJP sign 3
oNLS4rBETd8	Bharatiya Janata Party, BJP sign 2
l8Aq3ttf3lk	Bharatiya Janata Party, BJP sign 1
s5kbd2DCqpk	Bahujan Samaj Party, BSP
yYXL6MOhLUo	All India Trinamool Congress, AITC, TMC
bGGgKRLRngQ	Aam Aadmi Party, AAP sign 2
0klM2u7dV9M	Aam Aadmi Party, AAP sign 1
V2xejNSSroM	upper division clerk, UDC
jVTBWE4fJio	stepfather
gcu_pB2VV3Y	separated
AKEA2Efcf-c	propose
6BxN42ZQweM	newsreader
jk-q6T9ioJw	lower division clerk, LDC
CPitVthnjH4	love marriage
029K-cKlcPI	live in relationship
Im4SINoSEog	LGBT Lesbian, Gay, Bisexual and Transgender
dQMbnTMaARA	hawker sign
PGbVUlqDu1A	hawker explanation
bpK_n3OqDDw	hairdresser
YvnXtd5elNc	great grandson
N3pb79qnVYU	great grandmother
BOptXSFN6H8	great grandfather
WU3ggwzWK1c	great grandaughter
qn4Hst_qhek	father in law wife s father
xuxJyUtWXiI	father in law husband s father
n6E2BSLUAb4	farmer
jeHDb6bJlxg	employee, worker
nbkbCijmXrk	divorce sign 2
cw_LKMVolQI	divorce sign 1
WwBcOjPsadM	cashier
JF3O2TZwvk4	break up
ydrwkZHu9wQ	bandit
32bnZzOpyVQ	arranged marriage
mLAU6a3B4u0	Sonipat
REjALEhtu5U	Sign Language Day
je8iJ0Ui4Eo	Shaheed Bhagat Singh sign 2
5I1pHPEIJxY	Shaheed Bhagat Singh sign 1
cNqa5CDlzHI	Shah Rukh Khan
yulNaWExQ1M	Red Fort
WMAlevI4WmM	Rashtrapati Bhawan
lH8CUR6TUNc	Rann of Kutch
EPd7EL8NuvA	Qutub Minar
2Ha8eNmKzh8	Panipat
43qeExEx_MU	Onam sign 2
MHWcH_RNBm4	Onam sign 1
9fXpXAMUNvo	Mercedes Benz
swG4TyB3Nwk	Karnal
DMCl5hPozRY	International Week of the Deaf
2n1iwb6O4u8	International Sign, International Sign Language
CJVOh305Mxc	International Sign sign and explanation
wXWBhEyAS6g	Deaflympics sign and explanation
eKKXv_38bhU	Deaflympics sign 1
G1LmlH1Egy0	Chhatrapati Shivaji Terminus formerly Victoria Terminus
4x1ptujpYik	Char Minar
T7_DTlt1500	turban
5YMFoKmkzWA	tops, studs earrings
QejjrLQKSNM	tight fitting clothes
B6MS4BOsUsU	sports shoes, sneakers, trainers, athletic shoes
iXFGnSTPL2g	sneakers, sports shoes, trainers
O0W19pecGDs	shoelace, lace  shoestring
1wRoPJIQ_lg	rain coat
uhFpQrgaZFs	rag cloth
kyjwJwIPvwI	pony tail hair style
EOApdABVAdk	mustache
zqZYTTv9h5s	jutti, mojri
71LQ4ndmUB4	hoops earrings
vSrQsuNAdRU	hijab
Zbpmla07moI	heels, stilettos footwear
1Rpzf28igag	hairstyles, hairdos
EJJPkaaG8-8	hairband, headband
ZrTdWXxMYuc	hair cut
kjHbwgqxywg	hair straight hair
DdJh--QCg5Q	hair curly hair
CetYhV2R_QY	earrings
kXICczWnhMY	dandruff
QOgVgdIByeY	dandruff sign 2
YbzWGCKJN2I	dandruff sign 1
NmcAi6qt3pI	coloured hair
JKM9cJCwSso	burqa sign 2
O27MfZ3TutY	burqa sign 1
dYcectmoaKQ	bun hair style
Y0RXIq5lbUc	braid, plait hair style
KAoLidWDdwc	beard
qdP_VvKLT0A	bald sign 2
dEecdYk2mP4	bald sign 1
nP341F8VO6Q	badge
gWTIoA161Z8	badge, pin
ryv0rxTRU-o	army boots, combat boots
sPz6oKkPta4	apron
aCmlqS5iUPg	bouquet
linEr6tvKtI	bookmark
eWQaEgjC0es	body lotion, body moisturizer
_zwkM-DL07A	blindfold
VSIFhHeaEd0	blanket
nRLSmWsMWso	banquet
5cXKJg8YTrQ	banner sign 2
eQFEbYHnw1g	banner sign 1
kzVGI2trKCY	balm
RQtUZ1jbLz4	arrow
qzisHKgrCK0	air cooler
9TrDvAPU4-g	air conditioner, AC window AC
X0lYkEAXgb8	air conditioner, AC split AC
qk1_I7V1GrM	aftershave lotion sign 2
SuxUhaq7xio	aftershave lotion sign 1
rcgZzhIqhbI	flag
9KerVX_dVms	facewash liquid, gel
kA_OKkDqz-c	earbuds, earphones, headphones
BmZ8VVgb4MA	disposable cup
l92OjrkZhzk	cushion, pillow
IIAuow6p3Z0	crown
vkTbShRYNY4	cross
qzmFwQG8ELA	charger phone sign 2
xp0vk24tepA	charger phone sign 1
yn_oE8AEHrM	charger laptop
x8OYkIutcAI	chandelier example 2
yUtpWaZfmBA	chandelier example 1
RPpkt2qzt_k	chain
A6GbSHVXvkg	cable, cord, wire
IIX3Z8qbRdQ	business card, visiting card
NJ-T1e5mg9c	key ring, key chain
hqBC7fPjAFQ	key card
pT_imQc-e8Q	high chair
-14erA5-DmU	headphones, earphones
C2RKrZqhxs0	handwash liquid
ALxyoMCJZRQ	handrail
tJumVWwN-4s	hand shower, handheld shower head
6SCnlZHDp4I	hair straightener
uyqfuQKwBnw	gem, jewel, precious stone
TKZWvjlDSbQ	garland
lT-U4Us0m9U	fountain example 2 cross jet
2ApvLoa90ek	fountain example 1
